ROLL_BAD,PITCH_BAD,ROLL_FILTERED,PITCH_FILTERED,,
25.01,-5.07,48.64,33.85,,
21.73,-3.89,46.09,34.52,,
19.34,-2.97,43.37,35.25,,
16.88,-1.98,40.58,36.08,,
12.96,-0.4,37.86,36.99,,
10.3,0.75,35.38,37.85,,
7.78,1.91,33.09,38.6,,
5.5,2.98,30.73,39.23,,
3.38,3.91,28.06,39.87,,
-0.09,5.13,24.97,40.7,,
-2.84,6.03,21.61,41.73,,
-5.91,7.13,18.13,42.91,,
-9.25,8.42,14.62,44.23,,
-14.37,10.42,11.27,45.55,,
-17.88,11.79,8.26,46.65,,
-21.35,13.07,5.77,47.4,,
-24.32,14.01,3.76,47.8,,
-27.75,14.78,2.13,47.9,,
-29.54,14.93,0.72,47.85,,
-30.96,14.9,-0.66,47.86,,
-32.22,14.84,-2.17,48.05,,
-34.22,14.96,-3.82,48.44,,
-35.82,15.28,-5.65,48.97,,
-37.5,15.74,-7.68,49.63,,
-39.39,16.29,-9.84,50.28,,
-42.55,17.25,-11.97,50.79,,
-44.77,17.94,-13.98,51.17,,
-46.8,18.59,-15.84,51.45,,
-49.46,19.48,-17.58,51.71,,
-51.08,20.05,-19.42,51.99,,
-52.66,20.6,-21.39,52.4,,
-54.47,21.21,-23.25,53.04,,
-57.29,22.3,-24.9,53.89,,
-59.14,23.22,-26.24,54.78,,
-60.79,24.25,-27.14,55.56,,
-62.08,25.27,-27.57,56.19,,
-62.91,26.34,-27.64,56.7,,
-63.17,28.05,-27.42,57.07,,
-62.84,29.46,-26.95,57.27,,
-62.13,30.99,-26.3,57.19,,
-61.11,32.45,-25.46,56.84,,
-59.08,33.89,-24.57,56.47,,
-57.49,34.38,-23.71,56.22,,
-56.04,34.78,-22.84,56.16,,
-54.66,35.35,-21.85,56.27,,
-52.58,36.59,-20.79,56.41,,
-51,37.52,-19.76,56.49,,
-49.42,38.41,-18.7,56.37,,
-47.83,39.17,-17.53,56.05,,
-45.19,39.9,-16.31,55.55,,
-43.27,40.11,-15.14,54.82,,
-41.18,40.17,-13.94,53.82,,
-38.13,39.79,-12.61,52.59,,
-36.03,39.09,-11.11,51.28,,
-33.82,38.12,-9.47,49.86,,
-31.6,37.03,-7.81,48.41,,
-28.37,35.17,-6.06,46.95,,
-26.28,33.8,-4.18,45.43,,
-24.14,32.4,-2.21,43.82,,
-21.89,30.93,-0.15,42.12,,
-18.49,28.61,2.04,40.29,,
-16.1,26.94,4.23,38.3,,
-13.54,25.08,6.31,36.12,,
-11.13,23.1,8.52,33.71,,
-7.76,19.86,11.23,30.88,,
-5.15,17.3,14.18,27.83,,
-2.01,14.3,16.71,24.9,,
1.09,11.24,18.82,22.23,,
4.63,7.13,20.51,19.87,,
6.5,4.73,21.69,17.91,,
8,2.62,22.47,16.35,,
8.98,0.95,23.29,14.98,,
9.7,-0.32,24.22,13.54,,
11.05,-2.15,25.22,12.04,,
12.13,-3.59,26.4,10.53,,
13.26,-5.03,27.6,8.98,,
14.6,-6.46,28.66,7.46,,
15.92,-7.92,29.76,6.12,,
17.64,-9.95,31.07,4.96,,
18.93,-11.03,31.98,4.28,,
20.37,-11.96,32,4.04,,
21.33,-12.42,31.82,3.72,,
21.04,-12.45,32.07,2.96,,
20.99,-12.89,32.75,1.86,,
21.49,-13.91,33.62,0.76,,
22.87,-15.81,34.27,-0.03,,
23.79,-16.8,34.79,-0.55,,
24.42,-17.36,35.36,-0.96,,
25,-17.71,35.7,-1.16,,
25.88,-18.11,35.63,-1.01,,
25.98,-18.11,35.27,-0.53,,
25.65,-17.82,34.72,0.21,,
25.08,-17.3,34.13,1.07,,
24.03,-16.24,33.62,1.84,,
23.4,-15.46,32.94,2.39,,
22.85,-14.85,32.03,2.69,,
22.11,-14.43,30.83,2.95,,
20.65,-14.08,29.63,3.32,,
19.38,-13.69,28.64,3.7,,
18.31,-13.15,27.67,4.16,,
17.49,-12.55,26.77,4.7,,
16.26,-11.48,25.97,5.23,,
15.53,-10.72,25.12,5.69,,
14.8,-10.05,24.2,6.09,,
14,-9.49,23.29,6.32,,
12.72,-8.88,22.41,6.33,,
11.85,-8.69,21.72,6.15,,
11.08,-8.73,21.09,5.84,,
10.53,-8.92,20.47,5.54,,
10.02,-9.2,19.92,5.36,,
9.23,-9.49,19.34,5.31,,
8.8,-9.48,18.63,5.37,,
8.28,-9.34,17.74,5.54,,
7.61,-9.11,16.82,5.75,,
6.32,-8.65,16.09,5.88,,
5.49,-8.36,15.54,5.85,,
4.91,-8.23,15.09,5.82,,
4.47,-8.25,14.88,5.95,,
4.01,-8.22,14.75,6.52,,
3.95,-7.9,14.29,7.63,,
3.85,-7.09,13.31,9.05,,
3.36,-5.78,11.98,10.69,,
1.7,-3.38,10.34,12.39,,
0.24,-1.55,8.44,13.91,,
-1.46,0.19,6.87,15.03,,
-3.39,1.73,5.6,15.85,,
-4.86,2.84,4.38,16.6,,
-6.49,4.06,3.05,17.59,,
-7.63,4.98,1.45,18.81,,
-8.86,6.19,-0.43,20.18,,
-10.34,7.62,-2.44,21.68,,
-13.1,9.96,-4.52,23.28,,
-15.17,11.64,-6.58,24.92,,
-17.25,13.31,-8.64,26.52,,
-19.34,14.98,-10.72,28.01,,
-22.46,17.37,-12.78,29.39,,
-24.56,18.83,-14.93,30.66,,
-26.73,20.13,-17.18,31.79,,
-30.31,21.66,-19.44,32.79,,
-32.91,22.44,-21.68,33.64,,
-35.58,23.03,-23.98,34.33,,
-38.22,23.43,-26.26,34.87,,
-42.08,23.79,-28.44,35.24,,
-44.6,23.88,-30.52,35.5,,
-46.93,23.76,-32.58,35.63,,
-49.32,23.46,-34.44,35.53,,
-51.59,22.98,-35.99,35.1,,
-54.46,21.83,-37.22,34.29,,
-55.88,20.75,-38.06,33.24,,
-56.89,19.4,-38.52,32.04,,
-57.5,17.78,-38.63,30.78,,
-57.84,14.95,-38.25,29.51,,
-57.65,12.93,-37.4,28.28,,
-57.01,11,-36.01,27.11,,
-55.99,9.15,-33.96,25.96,,
-53.46,6.74,-31.26,24.82,,
-50.9,5.28,-28.18,23.57,,
-47.83,3.89,-25.18,22.19,,
-44.55,2.41,-22.32,20.84,,
-41.53,0.88,-19.59,19.65,,
-37.18,-1.27,-17.12,18.69,,
-34.55,-2.39,-14.88,17.82,,
-32.11,-3.3,-12.83,17.04,,
-29.82,-4.12,-10.85,16.34,,
-26.76,-5.14,-8.67,15.57,,
-24.6,-5.88,-6.12,14.71,,
-22.21,-6.76,-3.26,13.78,,
-19.44,-7.76,-0.28,12.91,,
-16.44,-8.77,2.59,12.16,,
-11.75,-10.11,5.24,11.57,,
-8.85,-10.8,7.84,11.24,,
-6.14,-11.27,10.48,11.09,,
-3.49,-11.5,13.23,11.13,,
0.83,-11.55,15.92,11.35,,
3.88,-11.32,18.25,11.61,,
6.69,-10.92,20.18,11.83,,
9.02,-10.5,22.03,11.93,,
11.94,-9.95,23.95,11.72,,
13.95,-9.78,25.86,11.23,,
16.06,-9.93,27.98,10.67,,
18.13,-10.28,30.29,10.24,,
21.58,-10.72,32.68,9.97,,
24.08,-10.88,34.88,9.76,,
26.49,-10.96,36.95,9.48,,
28.75,-11.05,38.99,9.05,,
31.88,-11.33,41.12,8.52,,
34.04,-11.66,43.34,7.96,,
36.33,-12.09,45.46,7.32,,
38.79,-12.56,47.34,6.59,,
42.04,-13.25,49.33,5.67,,
44.13,-13.63,51.39,4.56,,
46.46,-14.03,53.46,3.29,,
48.88,-14.48,55.15,1.93,,
51.26,-14.94,56.52,0.76,,
54.1,-15.47,57.71,-0.11,,
55.59,-15.45,58.87,-0.63,,
56.96,-15.12,60.06,-0.86,,
58.9,-14.32,61.18,-0.79,,
60.13,-13.77,62.16,-0.55,,
61.23,-13.29,63.13,-0.25,,
62.15,-12.95,64.16,-0.02,,
63.56,-12.78,65.07,0.07,,
64.62,-12.84,65.63,0.11,,
65.48,-12.97,65.84,0.16,,
65.94,-13.05,65.69,0.26,,
66,-13,65.5,0.39,,
65.74,-12.89,65.27,0.57,,
65.55,-12.75,64.82,0.97,,
65.25,-12.52,64.08,1.61,,
64.29,-11.85,63.15,2.31,,
63.28,-11.37,62.16,2.93,,
62.19,-10.97,61.03,3.42,,
61.12,-10.63,59.5,3.94,,
59.17,-10.06,57.38,4.71,,
57.23,-9.4,55.03,5.68,,
54.76,-8.48,52.66,6.62,,
52.24,-7.49,50.42,7.41,,
48.71,-6.31,47.91,8.2,,
46.31,-5.77,44.95,9.21,,
43.61,-5.31,41.87,10.4,,
40.43,-4.67,38.73,11.67,,
35.69,-3.23,35.78,13.01,,
32.59,-1.89,32.98,14.27,,
29.77,-0.4,30.29,15.31,,
27.03,1,27.46,16.12,,
23.08,2.64,24.44,16.86,,
20.13,3.57,21.43,17.61,,
16.94,4.56,18.69,18.43,,
13.92,5.57,16.23,19.3,,
11.21,6.66,13.88,20.04,,
7.59,8.2,11.43,20.59,,
5.15,9,8.75,21.03,,
2.45,9.61,5.9,21.49,,
-0.42,10.12,3.04,21.97,,
-3.39,10.66,0.03,22.38,,
-7.81,11.44,-3.01,22.77,,
-11,11.87,-5.87,23.1,,
-14.15,12.29,-8.46,23.32,,
-16.83,12.65,-10.81,23.4,,
-20.45,13.1,-13.04,23.3,,
-22.64,13.24,-15.15,23.12,,
-24.72,13.24,-16.97,22.93,,
-26.64,13.19,-18.4,22.74,,
-28.34,13.09,-19.43,22.47,,
-30.13,12.84,-20.03,22.06,,
-30.91,12.55,-20.07,21.47,,
-31.25,12.15,-19.67,20.71,,
-30.71,11.39,-18.93,19.86,,
-29.89,10.82,-17.82,18.98,,
-28.74,10.23,-16.24,17.97,,
-27.25,9.63,-14.3,16.74,,
-25.33,8.81,-12.1,15.34,,
-22,7.18,-9.61,13.88,,
-19.51,5.91,-6.86,12.3,,
-16.67,4.54,-3.67,10.63,,
-13.66,3.08,0.55,8.86,,
-8.14,0.68,5.64,6.95,,
-3.2,-1.14,11.34,5.13,,
2.43,-3.12,17.15,3.65,,
8.28,-4.89,22.59,2.58,,
17.01,-7.08,27.59,1.85,,
22.24,-8.15,32.05,1.18,,
27.18,-9.04,35.64,0.37,,
31.42,-9.93,38.42,-0.57,,
34.78,-10.88,40.48,-1.52,,
38.63,-12.2,41.97,-2.29,,
41.95,-13.19,44.28,-3.12,,
43.76,-13.35,45.17,-3.46,,
44.34,-13.38,45.87,-3.79,,
45.72,-13.52,46.39,-4.04,,
46.44,-13.45,46.65,-4.24,,
46.99,-13.22,46.73,-4.41,,
47.33,-12.62,46.86,-4.56,,
47.5,-12.06,46.89,-4.82,,
47.73,-11.55,46.99,-5.12,,
47.85,-11.2,47.1,-5.38,,
48.04,-10.96,47.49,-5.74,,
48.5,-10.88,48.01,-6.47,,
49.23,-10.94,48.28,-7,,
49.84,-11.04,48.46,-6.82,,
50.03,-11.08,48.8,-6.15,,
50.17,-10.77,49.58,-5.47,,
50.51,-10.52,50.72,-4.96,,
51.33,-10.51,51.92,-4.32,,
52.99,-11.15,52.22,-3.44,,
53.92,-11.63,52.21,-3.17,,
53.64,-11.97,52.35,-3.68,,
53.57,-12.55,52.54,-4.55,,
54.1,-13.68,52.5,-5.26,,
54.32,-14.51,52.33,-5.62,,
54.2,-15.4,52.28,-5.94,,
54.03,-16.15,52.45,-6.45,,
54.18,-16.87,52.68,-7.14,,
54.63,-17.23,52.62,-7.89,,
55.09,-17.47,52.1,-8.57,,
55.19,-17.58,51.2,-9.18,,
54.44,-17.6,50.24,-9.29,,
53.55,-17.24,49.27,-8.52,,
52.68,-16.15,48.27,-7.45,,
51.63,-14.39,47.61,-6.99,,
50.14,-12.48,46.76,-6.8,,
49.53,-12.1,45.75,-6.52,,
48.51,-11.87,44.85,-6.3,,
47.39,-11.57,43.82,-5.83,,
46.04,-10.72,42.52,-4.8,,
44.86,-9.47,40.93,-3.6,,
43.39,-7.46,39.07,-2.29,,
41.68,-5.08,37.15,-0.77,,
38.74,-1.15,35.12,1.03,,
36.59,1.76,33.12,2.98,,
34.43,4.55,31.16,4.96,,
32.26,7.38,29.06,7.04,,
29.12,11.14,26.94,9.06,,
26.87,13.54,24.91,10.93,,
24.69,15.71,23.05,12.62,,
22.66,17.67,21.35,14.1,,
20.77,19.46,19.82,15.42,,
18.1,21.81,18.47,16.69,,
16.37,23.32,17.15,17.71,,
14.73,24.76,15.95,18.44,,
12.91,25.97,14.87,19.22,,
10.35,27.24,13.94,20.1,,
8.98,28.14,13.12,21.05,,
7.73,29.09,12.47,21.83,,
6.11,30.49,12,22.33,,
5.12,31.11,11.67,22.63,,
4.24,31.48,11.48,22.63,,
3.56,31.66,11.4,22.01,,
3.1,31.49,11.45,20.65,,
2.76,30.05,11.7,18.6,,
2.75,28.21,12.12,16.05,,
2.84,25.87,12.53,13.33,,
2.96,23.25,12.75,10.74,,
3.01,19.12,12.8,8.54,,
2.86,16.75,12.86,6.68,,
2.62,14.71,12.9,4.87,,
2.55,12.96,12.86,2.91,,
2.55,10.32,12.81,0.7,,
2.48,8.2,12.65,-1.65,,
2.34,5.91,12.3,-3.99,,
2.05,3.53,12.09,-5.95,,
1.53,0.22,12,-7.28,,
1.46,-1.45,12.12,-8.22,,
1.52,-2.54,12.34,-9.29,,
1.78,-3.42,12.32,-10.61,,
2.1,-5.21,11.47,-12.31,,
1.76,-6.73,10.39,-14.25,,
0.6,-8.62,10.13,-16.32,,
-0.33,-10.7,10.61,-18.74,,
0.02,-14.03,11.52,-21.61,,
0.97,-16.76,12.31,-24.54,,
1.96,-19.81,13.02,-27.03,,
2.87,-22.82,13.42,-29.09,,
3.99,-26.18,13.32,-31.04,,
4.23,-28.11,12.96,-33.06,,
4.09,-30.06,12.79,-34.84,,
3.95,-32.05,12.77,-35.91,,
4.29,-34.22,12.48,-36.17,,
4.43,-34.81,12.05,-35.87,,
4.11,-34.71,11.8,-35.45,,
3.68,-34.23,12.07,-35.5,,
3.57,-33.88,13.01,-36.06,,
4.27,-34.37,14.12,-36.82,,
5.61,-35.2,14.93,-37.44,,
6.95,-36.04,15.14,-37.57,,
8.04,-36.71,14.5,-37.08,,
7.81,-36.47,13.21,-36.15,,
6.69,-35.75,11.53,-34.87,,
5.02,-34.7,9.72,-33.31,,
2.27,-32.61,7.95,-31.52,,
0.48,-30.91,6.43,-29.49,,
-1.12,-29.03,5.26,-27.33,,
-2.43,-26.91,4.36,-25.24,,
-3.85,-23.75,3.71,-23.27,,
-4.54,-21.76,3.31,-21.4,,
-4.99,-19.84,3.01,-19.67,,
-5.18,-18.1,2.7,-18.05,,
-5.41,-15.67,2.53,-16.42,,
-5.55,-14.12,2.56,-14.6,,
-5.51,-12.44,2.77,-12.53,,
-5.3,-10.54,3.02,-10.29,,
-4.96,-8.41,3.42,-8.02,,
-4.65,-6.14,3.67,-5.92,,
-3.95,-2.79,3.78,-4.08,,
-3.73,-0.87,3.75,-2.51,,
-3.61,0.87,3.55,-1.1,,
-3.6,2.33,3.34,0.21,,
-3.79,4.31,3.24,1.4,,
-3.86,5.52,3.31,2.42,,
-3.79,6.59,3.54,3.4,,
-3.55,7.51,3.83,4.52,,
-3.01,8.97,4.09,5.79,,
-2.62,10.15,4.43,7.19,,
-2.24,11.49,4.87,8.86,,
-1.66,12.95,5.26,10.77,,
-0.63,15.6,5.55,12.81,,
0,17.59,5.57,14.94,,
0.54,19.71,5.37,17.09,,
0.82,21.82,5.1,19.08,,
0.89,24.86,4.83,20.88,,
0.8,26.67,4.61,22.59,,
0.63,28.36,4.4,24.26,,
0.49,30.03,4.14,25.84,,
0.53,31.67,3.85,27.26,,
0.84,33.89,3.63,28.55,,
1.14,35.16,3.46,29.72,,
1.53,36.32,3.21,30.65,,
2.05,37.86,2.79,31.57,,
2,38.65,2.3,32.76,,
1.52,39.63,1.77,34.07,,
0.8,40.89,1.22,35.26,,
-0.04,42.19,0.67,36.25,,
-1.26,43.81,0.12,37.12,,
-1.87,44.65,-0.44,37.88,,
-2.33,45.42,-1,38.59,,
-2.99,46.42,-1.49,39.2,,
-3.52,47.04,-1.91,39.65,,
-3.99,47.53,-2.31,39.98,,
-4.53,47.85,-2.66,40.27,,
-5.69,48.13,-2.9,40.44,,
-6.51,48.27,-3.08,40.41,,
-7.08,48.25,-3.21,40.16,,
-7.41,48.04,-3.3,39.69,,
-7.65,47.39,-3.31,39.08,,
-7.74,46.71,-3.21,38.33,,
-7.78,45.95,-3.01,37.34,,
-7.68,45.08,-2.82,35.93,,
-7.54,43.24,-2.8,34.06,,
-7.65,41.44,-2.95,32.07,,
-8.05,39.29,-2.95,30.32,,
-8.53,37.16,-2.7,28.89,,
-8.66,35.41,-2.32,27.69,,
-8.15,33.39,-2.09,26.64,,
-7.66,32.27,-1.92,25.65,,
-7.35,31.25,-1.78,24.75,,
-7.13,29.77,-1.5,24.05,,
-7.04,28.9,-1.07,23.59,,
-6.74,28.26,-0.53,23.13,,
-6.18,27.86,-0.01,22.3,,
-5.09,27.05,0.58,20.97,,
-4.18,25.91,1.14,19.39,,
-3.15,24.4,1.5,17.86,,
-2.26,22.76,1.63,16.5,,
-1.65,20.56,1.61,15.32,,
-1.64,19.3,1.58,14.22,,
-1.76,18.17,1.61,13.12,,
-1.87,17.06,1.75,12.04,,
-1.86,15.94,1.89,11.05,,
-1.67,14.86,1.88,10.13,,
-1.4,13.41,1.92,9.07,,
-1.47,12.45,2.26,7.72,,
-1.37,11.28,2.75,6.16,,
-0.6,9.07,3.13,4.75,,
-0.04,7.49,3.45,3.69,,
0.35,6.2,3.78,2.77,,
0.68,5.26,4.04,1.9,,
1.04,4.38,4.23,1.02,,
1.41,3.09,4.24,0.01,,
1.57,2.15,4.12,-1.07,,
1.53,1.02,4.12,-2.04,,
1.38,-0.07,4.3,-2.82,,
1.43,-1.04,4.55,-3.44,,
1.8,-2.09,4.73,-3.94,,
2.07,-2.66,4.81,-4.58,,
2.22,-3.19,4.96,-5.51,,
2.27,-3.93,5.23,-6.67,,
2.43,-5.01,5.45,-7.92,,
2.84,-6.95,5.62,-9.12,,
2.98,-8.25,5.83,-10.24,,
3.1,-9.47,6.11,-11.27,,
3.3,-10.6,6.39,-12.1,,
3.69,-12.08,6.64,-12.74,,
3.98,-12.83,6.72,-13.27,,
4.2,-13.41,6.76,-13.79,,
4.31,-14.16,6.9,-14.36,,
4.45,-14.69,7.06,-15.01,,
4.68,-15.29,7.37,-15.79,,
4.92,-15.97,7.79,-16.69,,
5.53,-17.23,8.14,-17.62,,
5.99,-18.18,8.32,-18.5,,
6.29,-19.12,8.22,-19.41,,
6.44,-20,8.13,-20.31,,
6.37,-20.9,8.19,-21.05,,
6.43,-22.12,8.09,-21.66,,
6.51,-22.77,7.8,-22.16,,
6.34,-23.33,7.45,-22.54,,
6.02,-23.8,7.19,-22.91,,
5.62,-24.27,6.97,-23.3,,
5.42,-24.64,6.74,-23.67,,
5.21,-25.05,6.48,-23.83,,
4.93,-25.38,6.25,-23.66,,
4.46,-25.41,6.18,-23.17,,
4.22,-25.05,6.18,-22.51,,
4.15,-24.46,6.09,-21.72,,
4.09,-23.79,5.89,-20.72,,
3.81,-22.54,5.61,-19.59,,
3.52,-21.42,5.42,-18.42,,
3.23,-20.33,5.16,-16.84,,
3.04,-19.12,4.52,-14.7,,
2.51,-16.5,3.64,-11.99,,
1.65,-13.98,2.91,-9.11,,
0.76,-11,2.47,-6.2,,
0.2,-8.14,2.16,-3.37,,
-0.17,-3.87,1.97,-1.18,,
-0.35,-1.29,1.7,-0.15,,
-0.49,0.46,1.38,-0.11,,
-0.77,0.97,1.41,-0.49,,
-1.04,0.43,1.58,-0.79,,
-0.79,-0.08,1.61,-0.6,,
-0.59,-0.28,1.52,0.33,,
-0.61,0.11,1.57,2.05,,
-0.71,2.06,2,4.48,,
-0.46,4.24,2.79,7.27,,
0.26,6.97,3.59,10.17,,
1.23,9.87,4.27,12.93,,
2.11,12.74,4.68,15.25,,
2.79,15.38,4.7,17.1,,
3.02,18.49,4.48,18.29,,
2.67,20.04,4.14,18.86,,
2.16,20.93,3.78,19.05,,
1.59,21.33,3.45,19.12,,
0.94,21.45,2.96,18.96,,
0.55,21.45,2.27,18.56,,
-0.12,21.2,1.38,18.05,,
-1.05,20.72,0.16,17.39,,
-2.9,19.87,-1.39,16.47,,
-4.56,19.06,-3.01,15.33,,
-6.47,17.99,-4.52,13.98,,
-8.37,16.71,-5.99,12.36,,
-10.88,14.38,-7.74,10.6,,
-12.69,12.45,-10.06,8.92,,
-14.84,10.45,-12.52,7.58,,
-17.53,8.54,-14.94,6.6,,
-20.23,6.98,-17.2,5.88,,
-24.04,5.07,-19.32,5.41,,
-26.31,3.98,-21.32,5.22,,
-28.49,2.95,-23.4,5.23,,
-31.6,1.59,-25.59,5.46,,
-33.9,0.77,-27.85,5.94,,
-36.14,0.21,-30.31,6.45,,
-38.51,-0.03,-32.72,6.75,,
-40.97,-0.22,-34.65,6.77,,
-44.39,-0.78,-35.91,6.55,,
-45.94,-1.22,-36.58,6.19,,
-46.85,-1.65,-36.99,5.87,,
-47.29,-2.09,-37.41,5.71,,
-47.74,-2.67,-37.76,5.68,,
-48.1,-2.94,-37.77,5.66,,
-48.34,-3.11,-37.3,5.5,,
-47.92,-3.21,-36.59,5.15,,
-47.16,-3.23,-35.72,4.78,,
-46.3,-3.36,-34.57,4.47,,
-45.29,-3.55,-33.21,4.12,,
-43.36,-3.86,-31.58,3.7,,
-41.8,-4.09,-29.63,3.29,,
-39.94,-4.34,-27.65,3.03,,
-37.87,-4.57,-25.81,2.94,,
-35.77,-4.74,-23.9,3.04,,
-32.92,-4.83,-21.83,3.3,,
-30.78,-4.68,-19.53,3.66,,
-28.54,-4.38,-16.84,4.05,,
-26.1,-3.96,-13.66,4.48,,
-21.58,-3.19,-10.48,5,,
-18.18,-2.57,-7.72,5.58,,
-14.98,-1.87,-5.24,6.02,,
-12.28,-1.19,-3.1,6.15,,
-8.74,-0.64,-1.39,5.94,,
-6.74,-0.66,0.29,5.44,,
-5.11,-0.97,2.48,4.76,,
-2.36,-1.86,5.05,4.08,,
0.18,-2.58,7.77,3.5,,
2.95,-3.23,10.57,3.06,,
5.81,-3.78,13.28,2.78,,
8.68,-4.21,15.55,2.6,,
12.59,-4.56,17.35,2.47,,
14.6,-4.65,19.18,2.45,,
16.32,-4.67,21.32,2.5,,
18.29,-4.54,23.38,2.5,,
20.51,-4.42,25.35,2.43,,
23.55,-4.52,27.51,2.49,,
25.64,-4.67,29.98,2.81,,
27.94,-4.68,32.35,3.42,,
30.57,-4.5,34.25,4.14,,
32.9,-4.15,35.81,4.89,,
35.47,-3.35,37.33,5.66,,
36.9,-2.73,39.04,6.46,,
38.49,-2.13,40.78,7.29,,
40.28,-1.62,42.38,8.14,,
42.87,-0.95,44.1,8.96,,
44.49,-0.57,46.12,9.61,,
46.35,-0.33,48.19,10.04,,
48.52,-0.39,50.22,10.2,,
51.74,-1.04,51.86,10.14,,
53.67,-1.63,52.95,9.94,,
55.2,-2.17,53.8,9.69,,
56.16,-2.57,54.85,9.5,,
57.44,-3.05,55.91,9.47,,
58.58,-3.29,56.65,9.59,,
59.6,-3.43,56.81,9.76,,
60.2,-3.37,56.39,9.86,,
59.99,-2.99,55.57,9.86,,
59.25,-2.53,54.53,9.81,,
58.26,-2,53.01,9.78,,
57.09,-1.46,50.9,9.82,,
54.4,-0.5,48.44,10.11,,
51.94,0.44,45.96,10.76,,
49.32,1.63,43.48,11.62,,
46.78,2.93,41.03,12.47,,
43.07,4.65,38.58,13.03,,
40.6,5.59,35.93,13.35,,
38.14,6.31,32.86,13.65,,
35.2,6.99,29.58,14.12,,
30.21,8.11,26.45,14.87,,
26.81,9.09,23.4,15.89,,
23.65,10.21,20.55,17.14,,
20.68,11.44,18.1,18.47,,
16.67,13.52,16.09,19.62,,
14.49,14.93,14.17,20.56,,
12.57,16.09,12.24,21.5,,
10.68,17.01,10.42,22.44,,
8.82,17.94,8.92,23.15,,
6.49,19.24,7.78,23.68,,
5.51,19.72,6.9,24.31,,
4.84,20.16,5.87,25.19,,
4.33,20.81,4.58,26.46,,
2.96,22.29,3.25,28.18,,
1.63,23.88,1.96,30.1,,
0.36,25.83,1,31.85,,
-0.74,27.79,0.4,33.36,,
-1.42,30.31,0.17,34.66,,
-1.28,31.75,0.27,35.86,,
-0.81,32.98,0.6,37.11,,
0.41,34.74,0.87,38.35,,
1.41,36.05,1.06,39.44,,
2.23,37.25,1.35,40.4,,
2.93,38.25,1.58,41.31,,
4.2,39.59,1.54,41.84,,
4.94,40.38,1.46,41.93,,
5.18,40.69,1.43,41.95,,
5.1,40.65,1.3,42.16,,
4.94,40.78,1.1,42.27,,
4.7,41.04,0.87,41.82,,
4.12,41.04,0.58,40.43,,
3.09,40.31,0.36,38.29,,
1.58,38.62,0.3,35.78,,
-0.47,35.08,0.35,33.16,,
-1.21,32.37,0.42,30.47,,
-1.46,29.73,0.41,27.6,,
-1.44,27.03,0.32,24.54,,
-1.37,24.11,0.19,21.41,,
-1.31,19.54,-0.02,18.43,,
-1.34,16.45,-0.1,15.9,,
-1.44,13.48,-0.03,13.89,,
-1.41,11.13,0.22,12.23,,
-1.07,8.47,0.56,10.75,,
-0.65,6.94,1.04,9.32,,
-0.19,5.51,1.58,7.9,,
0.37,4.09,1.77,6.46,,
1.1,1.97,1.37,4.68,,
0.96,0.44,0.59,2.57,,
0.22,-1.54,-0.1,0.42,,
-0.71,-3.75,-0.65,-1.59,,
-1.65,-6.86,-1.09,-3.46,,
-2.08,-8.76,-1.26,-5.25,,
-2.39,-10.59,-1.31,-7,,
-2.44,-12.32,-1.35,-8.62,,
-2.42,-14.01,-1.35,-9.96,,
-2.47,-15.56,-1.24,-10.93,,
-2.46,-17.27,-1.3,-11.92,,
-2.43,-18.07,-1.54,-13.45,,
-2.62,-19.11,-1.91,-15.48,,
-3.21,-21.68,-2.75,-18.08,,
-3.72,-23.95,-4.2,-20.92,,
-4.84,-26.83,-5.61,-23.34,,
-6.46,-29.6,-6.21,-25.09,,
-7.87,-31.8,-5.93,-26.25,,
-8.29,-33.91,-5.51,-26.77,,
-7.78,-34.65,-5.3,-27.06,,
-7.37,-34.92,-5.27,-27.42,,
-7.34,-35.24,-5.29,-27.9,,
-7.55,-35.64,-5.11,-28.33,,
-7.66,-36.1,-4.85,-28.72,,
-7.46,-36.47,-4.78,-29.17,,
-7.19,-37.03,-4.73,-29.69,,
-7.18,-37.51,-4.59,-30.21,,
-7.06,-38.03,-4.5,-30.7,,
-6.82,-38.53,-4.54,-31.06,,
-6.56,-39.18,-4.62,-31.27,,
-6.5,-39.44,-4.7,-31.39,,
-6.53,-39.56,-4.71,-31.39,,
-6.65,-39.6,-4.72,-31.13,,
-6.71,-39.37,-4.72,-30.56,,
-6.65,-38.91,-4.74,-29.45,,
-6.48,-38.13,-4.74,-27.71,,
-6.21,-36.85,-4.75,-25.43,,
-5.74,-33.78,-5.21,-22.99,,
-5.45,-31.31,-6.15,-20.65,,
-5.87,-28.9,-7.12,-18.42,,
-6.89,-26.6,-7.7,-16.61,,
-8.07,-23.51,-7.47,-15.32,,
-8.09,-22.02,-6.88,-14.16,,
-7.43,-20.89,-6.36,-12.81,,
-6.55,-19.81,-6.05,-11.15,,
-5.57,-17.69,-6.02,-9.13,,
-5.22,-15.79,-6.23,-6.79,,
-5.16,-13.66,-6.55,-4.16,,
-5.34,-11.2,-6.86,-1.35,,
-5.73,-7.17,-7.1,1.42,,
-5.94,-4.31,-7.28,3.95,,
-6.1,-1.65,-7.28,5.98,,
-6.22,0.73,-7.07,7.43,,
-6.16,2.52,-6.71,8.47,,
-5.7,4.34,-6.29,9.48,,
-5.25,5.29,-5.92,10.74,,
-4.76,6.37,-5.71,12.27,,
